station,duration(hr),IGS08Lat,IGS08Long,IGS08elipht,sigmalat95(m),sigmalon95(m),sigmaelht95(m),NominalT,dn (cm),de (cm),dh (cm)
LBCC,3,44.58498564,-123.118176,46.96,0.012,0.046,0.057,3,-0.72,2.68,1
LBCC,3,44.58498569,-123.1181765,46.968,0.016,0.038,0.058,3,-0.1,-1.51,1.8
LBCC,3,44.58498553,-123.1181767,46.951,0.026,0.045,0.083,3,-1.95,-2.84,0.1
LBCC,3,44.58498567,-123.1181759,46.946,0.013,0.052,0.063,3,-0.41,3.34,-0.4
LBCC,3,44.58498567,-123.1181763,46.98,0.018,0.044,0.066,3,-0.41,0.03,3
LBCC,3,44.5849855,-123.1181766,46.97,0.019,0.035,0.074,3,-2.26,-1.73,2
LBCC,3,44.58498564,-123.1181765,46.977,0.025,0.058,0.074,3,-0.72,-1.29,2.7
LBCC,3,44.58498561,-123.1181762,46.971,0.014,0.033,0.059,3,-1.02,1.13,2.1
LBCC,3,44.58498569,-123.118176,46.941,0.012,0.052,0.055,3,-0.1,2.46,-0.9
LBCC,3,44.58498569,-123.1181763,46.963,0.019,0.047,0.07,3,-0.1,0.47,1.3
LBCC,3,44.58498561,-123.1181764,46.957,0.015,0.033,0.067,3,-1.02,-0.41,0.7
LBCC,3,44.58498564,-123.1181763,46.954,0.011,0.051,0.047,3,-0.72,0.47,0.4
LBCC,3,44.58498569,-123.1181763,46.953,0.026,0.058,0.072,3,-0.1,0.25,0.3
LBCC,3,44.5849855,-123.1181764,46.993,0.014,0.033,0.059,3,-2.26,-0.19,4.3
LBCC,3,44.58498556,-123.1181763,46.963,0.011,0.036,0.042,3,-1.64,0.69,1.3
LBCC,3,44.58498569,-123.1181766,46.915,0.03,0.041,0.081,3,-0.1,-1.73,-3.5
LBCC,3,44.58498564,-123.1181764,46.958,0.021,0.042,0.061,3,-0.72,-0.85,0.8
U727,3,44.59391664,-123.5471758,204.404,0.013,0.051,0.062,3,-1.35,1.48,0.6
U727,3,44.59391669,-123.547176,204.399,0.019,0.046,0.073,3,-0.73,-0.73,0.1
U727,3,44.59391672,-123.5471758,204.39,0.023,0.036,0.078,3,-0.42,1.04,-0.8
U727,3,44.59391664,-123.547176,204.41,0.013,0.042,0.054,3,-1.35,-0.51,1.2
U727,3,44.59391669,-123.5471759,204.407,0.011,0.043,0.053,3,-0.73,0.15,0.9
U727,3,44.59391678,-123.5471759,204.38,0.03,0.04,0.078,3,0.19,0.59,-1.8
U727,3,44.59391669,-123.5471759,204.399,0.013,0.057,0.053,3,-0.73,0.15,0.1
U727,3,44.59391661,-123.5471761,204.416,0.024,0.057,0.084,3,-1.66,-1.61,1.8
U727,3,44.59391664,-123.547176,204.422,0.014,0.031,0.06,3,-1.35,-0.29,2.4
U727,3,44.59391672,-123.547176,204.384,0.013,0.036,0.058,3,-0.42,-0.73,-1.4
U727,3,44.59391689,-123.5471757,204.357,0.023,0.034,0.071,3,1.43,1.7,-4.1
U727,3,44.59391664,-123.5471756,204.424,0.031,0.059,0.072,3,-1.35,3.02,2.6
Y683,3,44.6891475,-123.2189186,71.632,0.012,0.043,0.054,3,-0.94,0.55,0.6
Y683,3,44.68914753,-123.2189188,71.641,0.014,0.035,0.055,3,-0.63,-0.77,1.5
Y683,3,44.6891475,-123.2189188,71.63,0.018,0.03,0.063,3,-0.94,-0.77,0.4
Y683,3,44.68914756,-123.2189187,71.63,0.011,0.034,0.048,3,-0.32,0.33,0.4
Y683,3,44.68914756,-123.2189188,71.651,0.011,0.031,0.043,3,-0.32,-0.55,2.5
Y683,3,44.68914742,-123.2189186,71.642,0.021,0.03,0.061,3,-1.86,1.21,1.6
Y683,3,44.68914753,-123.2189185,71.615,0.014,0.052,0.06,3,-0.63,1.87,-1.1
Y683,3,44.68914756,-123.2189187,71.614,0.012,0.053,0.051,3,-0.32,0.33,-1.2
Y683,3,44.68914756,-123.2189188,71.634,0.019,0.046,0.066,3,-0.32,-0.55,0.8
Y683,3,44.68914744,-123.2189188,71.641,0.014,0.031,0.061,3,-1.55,-0.99,1.5
Y683,3,44.6891475,-123.2189187,71.636,0.011,0.039,0.051,3,-0.94,-0.11,1
Y683,3,44.68914753,-123.2189188,71.625,0.013,0.032,0.049,3,-0.63,-0.33,-0.1
Y683,3,44.68914758,-123.2189188,71.63,0.018,0.029,0.059,3,-0.01,-0.77,0.4
Y683,3,44.68914753,-123.2189186,71.617,0.012,0.054,0.05,3,-0.63,0.77,-0.9
Y683,3,44.68914758,-123.2189187,71.634,0.022,0.052,0.072,3,-0.01,-0.11,0.8
Y683,3,44.68914753,-123.2189187,71.636,0.013,0.03,0.058,3,-0.63,-0.11,1
Y683,3,44.68914756,-123.2189187,71.618,0.012,0.031,0.046,3,-0.32,0.11,-0.8
Y683,3,44.68914775,-123.2189185,71.593,0.02,0.032,0.063,3,1.84,1.43,-3.3
Y683,3,44.68914756,-123.2189185,71.653,0.026,0.052,0.065,3,-0.32,1.43,2.7
BICK,3.991666667,44.48952025,-123.2807106,51.983,0.009,0.03,0.038,4,-1.42,0.52,2.3
LBCC,3.991666667,44.58498561,-123.1181761,46.96,0.008,0.035,0.038,4,-1.02,2.02,1
B726,4,44.64840736,-123.0626608,42.069,0.008,0.035,0.04,4,-0.3,2.51,1.5
B726,4,44.64840733,-123.0626611,42.021,0.015,0.024,0.052,4,-0.61,0.31,-3.3
B726,4,44.64840736,-123.0626611,42.048,0.008,0.034,0.043,4,-0.3,0.31,-0.6
B726,4,44.64840733,-123.0626611,42.031,0.02,0.033,0.064,4,-0.61,0.53,-2.3
B726,4,44.64840736,-123.0626611,42.045,0.008,0.033,0.038,4,-0.3,0.31,-0.9
B726,4,44.64840731,-123.0626611,42.033,0.017,0.028,0.055,4,-0.92,0.31,-2.1
B726,4,44.64840742,-123.0626609,42.036,0.011,0.029,0.046,4,0.32,1.63,-1.8
B726,4,44.6484075,-123.0626613,42.037,0.015,0.027,0.051,4,1.25,-1.02,-1.7
BICK,4,44.48952017,-123.2807106,51.976,0.009,0.03,0.036,4,-2.35,0.52,1.6
BICK,4,44.48952031,-123.2807106,51.961,0.012,0.029,0.047,4,-0.8,0.08,0.1
BICK,4,44.48952028,-123.2807104,51.959,0.008,0.034,0.038,4,-1.11,1.85,-0.1
BICK,4,44.48952033,-123.2807105,51.958,0.017,0.031,0.051,4,-0.49,1.18,-0.2
BICK,4,44.48952019,-123.2807104,51.985,0.008,0.035,0.04,4,-2.04,1.41,2.5
BICK,4,44.48952033,-123.2807106,51.947,0.019,0.03,0.054,4,-0.49,0.3,-1.3
BICK,4,44.48952019,-123.2807105,51.972,0.009,0.03,0.037,4,-2.04,0.74,1.2
BICK,4,44.48952028,-123.2807106,51.971,0.012,0.029,0.046,4,-1.11,0.52,1.1
BICK,4,44.48952022,-123.2807106,51.98,0.009,0.035,0.039,4,-1.73,0.3,2
BICK,4,44.48952025,-123.2807106,51.973,0.017,0.033,0.052,4,-1.42,-0.14,1.3
BICK,4,44.48952019,-123.2807106,51.976,0.015,0.032,0.05,4,-2.04,-0.14,1.6
BICK,4,44.48952031,-123.2807104,51.976,0.01,0.039,0.044,4,-0.8,1.41,1.6
BICK,4,44.48952022,-123.2807105,51.969,0.019,0.033,0.058,4,-1.73,0.96,0.9
BICK,4,44.48952031,-123.2807106,51.965,0.008,0.034,0.036,4,-0.8,0.52,0.5
BICK,4,44.48952014,-123.2807108,52.019,0.016,0.027,0.05,4,-2.65,-1.03,5.9
BICK,4,44.48952028,-123.2807106,51.977,0.008,0.033,0.038,4,-1.11,0.3,1.7
BICK,4,44.48952033,-123.2807105,51.961,0.017,0.033,0.051,4,-0.49,0.74,0.1
BICK,4,44.48952028,-123.2807106,51.964,0.007,0.029,0.034,4,-1.11,0.52,0.4
BICK,4,44.48952019,-123.2807106,51.979,0.019,0.029,0.057,4,-2.04,0.08,1.9
GLAS,4,44.51934225,-122.9960552,69.459,0.008,0.034,0.038,4,-0.17,0.43,1.6
GLAS,4,44.51934233,-122.9960551,69.423,0.017,0.029,0.055,4,0.76,0.66,-2
GLAS,4,44.51934222,-122.9960552,69.467,0.008,0.033,0.041,4,-0.48,-0.01,2.4
GLAS,4,44.51934225,-122.9960553,69.443,0.017,0.034,0.054,4,-0.17,-0.45,0
GLAS,4,44.51934219,-122.9960551,69.466,0.007,0.029,0.035,4,-0.79,0.66,2.3
GLAS,4,44.51934217,-122.9960553,69.439,0.014,0.023,0.047,4,-1.09,-0.23,-0.4
GLAS,4,44.51934214,-122.9960554,69.454,0.009,0.025,0.036,4,-1.4,-1.33,1.1
GLAS,4,44.51934225,-122.9960554,69.414,0.011,0.021,0.043,4,-0.17,-1.11,-2.9
LBCC,4,44.58498556,-123.1181762,46.968,0.009,0.031,0.043,4,-1.64,0.91,1.8
LBCC,4,44.58498572,-123.1181764,46.961,0.013,0.031,0.05,4,0.21,-0.63,1.1
LBCC,4,44.58498564,-123.1181761,46.963,0.008,0.035,0.043,4,-0.72,2.24,1.3
LBCC,4,44.58498564,-123.1181766,46.954,0.019,0.035,0.058,4,-0.72,-1.73,0.4
LBCC,4,44.58498564,-123.118176,46.958,0.01,0.041,0.05,4,-0.72,2.46,0.8
LBCC,4,44.58498556,-123.1181766,46.982,0.021,0.036,0.064,4,-1.64,-1.96,3.2
LBCC,4,44.58498556,-123.1181766,46.957,0.017,0.025,0.054,4,-1.64,-1.73,0.7
LBCC,4,44.58498564,-123.1181762,46.948,0.008,0.035,0.041,4,-0.72,1.35,-0.2
LBCC,4,44.58498567,-123.1181764,46.946,0.02,0.032,0.06,4,-0.41,-0.19,-0.4
LBCC,4,44.58498564,-123.1181761,46.952,0.008,0.031,0.037,4,-0.72,1.57,0.2
LBCC,4,44.58498544,-123.1181766,46.98,0.016,0.024,0.052,4,-2.88,-2.4,3
LBCC,4,44.58498558,-123.1181765,46.961,0.009,0.027,0.039,4,-1.33,-1.51,1.1
LBCC,4,44.58498564,-123.1181766,46.94,0.011,0.021,0.047,4,-0.72,-2.18,-1
U727,4,44.59391667,-123.5471757,204.397,0.009,0.036,0.048,4,-1.04,1.92,-0.1
U727,4,44.59391678,-123.5471758,204.376,0.022,0.032,0.063,4,0.19,1.48,-2.2
U727,4,44.59391667,-123.547176,204.405,0.009,0.031,0.042,4,-1.04,-0.29,0.7
U727,4,44.59391669,-123.5471759,204.394,0.013,0.032,0.058,4,-0.73,-0.07,-0.4
U727,4,44.59391669,-123.5471759,204.395,0.008,0.035,0.044,4,-0.73,-0.07,-0.3
U727,4,44.59391669,-123.5471758,204.393,0.018,0.028,0.058,4,-0.73,1.04,-0.5
U727,4,44.59391669,-123.5471761,204.385,0.011,0.03,0.053,4,-0.73,-0.95,-1.3
U727,4,44.59391678,-123.5471759,204.394,0.011,0.024,0.049,4,0.19,0.37,-0.4
Y683,4,44.68914753,-123.2189186,71.639,0.009,0.035,0.041,4,-0.63,0.55,1.3
Y683,4,44.68914753,-123.2189187,71.622,0.017,0.033,0.052,4,-0.63,-0.11,-0.4
Y683,4,44.68914756,-123.2189186,71.633,0.009,0.03,0.04,4,-0.32,0.55,0.7
Y683,4,44.6891475,-123.2189188,71.639,0.015,0.033,0.05,4,-0.94,-0.55,1.3
Y683,4,44.68914756,-123.2189185,71.627,0.01,0.04,0.047,4,-0.32,1.43,0.1
Y683,4,44.68914758,-123.2189186,71.616,0.008,0.034,0.038,4,-0.01,0.55,-1
Y683,4,44.6891475,-123.2189188,71.642,0.016,0.027,0.051,4,-0.94,-0.55,1.6
Y683,4,44.68914753,-123.2189187,71.633,0.008,0.033,0.039,4,-0.63,0.11,0.7
Y683,4,44.68914758,-123.2189188,71.624,0.017,0.033,0.052,4,-0.01,-0.99,-0.2
Y683,4,44.68914756,-123.2189186,71.629,0.008,0.033,0.037,4,-0.32,0.55,0.3
Y683,4,44.68914758,-123.2189186,71.623,0.016,0.026,0.05,4,-0.01,0.99,-0.3
Y683,4,44.68914758,-123.2189187,71.617,0.011,0.027,0.042,4,-0.01,-0.11,-0.9
Y683,4,44.68914764,-123.2189188,71.628,0.011,0.023,0.045,4,0.61,-0.33,0.2
U727,4.85,44.59391672,-123.5471758,204.392,0.018,0.026,0.053,5,-0.42,1.04,-0.6
BICK,4.991666667,44.48952025,-123.2807105,51.985,0.007,0.026,0.032,5,-1.42,0.74,2.5
LBCC,4.991666667,44.58498564,-123.1181763,46.954,0.007,0.027,0.036,5,-0.72,0.69,0.4
B726,5,44.64840736,-123.0626609,42.066,0.007,0.026,0.037,5,-0.3,1.85,1.2
B726,5,44.64840733,-123.0626612,42.025,0.011,0.021,0.042,5,-0.61,-0.8,-2.9
B726,5,44.64840736,-123.062661,42.055,0.007,0.026,0.039,5,-0.3,0.75,0.1
B726,5,44.64840728,-123.0626612,42.04,0.014,0.021,0.046,5,-1.22,-0.36,-1.4
B726,5,44.64840739,-123.062661,42.054,0.007,0.025,0.035,5,0.01,0.97,0
B726,5,44.64840728,-123.0626611,42.045,0.011,0.019,0.041,5,-1.22,-0.14,-0.9
B726,5,44.64840742,-123.0626609,42.027,0.01,0.024,0.04,5,0.32,1.85,-2.7
B726,5,44.64840742,-123.0626612,42.07,0.014,0.03,0.039,5,0.32,-0.36,1.6
BICK,5,44.48952022,-123.2807106,51.974,0.007,0.027,0.032,5,-1.73,0.3,1.4
BICK,5,44.48952036,-123.2807105,51.948,0.015,0.029,0.048,5,-0.18,0.96,-1.2
BICK,5,44.48952028,-123.2807105,51.962,0.006,0.025,0.032,5,-1.11,1.18,0.2
BICK,5,44.48952028,-123.2807106,51.975,0.015,0.028,0.046,5,-1.11,0.3,1.5
BICK,5,44.48952019,-123.2807105,51.978,0.007,0.026,0.034,5,-2.04,0.96,1.8
BICK,5,44.48952025,-123.2807106,51.967,0.015,0.023,0.044,5,-1.42,0.08,0.7
BICK,5,44.48952022,-123.2807106,51.974,0.007,0.027,0.033,5,-1.73,0.52,1.4
BICK,5,44.48952031,-123.2807106,51.964,0.013,0.024,0.044,5,-0.8,0.08,0.4
BICK,5,44.48952022,-123.2807106,51.981,0.006,0.026,0.033,5,-1.73,0.3,2.1
BICK,5,44.48952017,-123.2807107,51.983,0.014,0.022,0.045,5,-2.35,-0.58,2.3
BICK,5,44.48952022,-123.2807108,51.962,0.013,0.026,0.044,5,-1.73,-1.25,0.2
BICK,5,44.48952028,-123.2807105,51.98,0.007,0.028,0.036,5,-1.11,0.74,2
BICK,5,44.48952019,-123.2807106,51.976,0.015,0.024,0.05,5,-2.04,0.3,1.6
BICK,5,44.48952031,-123.2807106,51.965,0.006,0.024,0.032,5,-0.8,-0.14,0.5
BICK,5,44.48952014,-123.2807106,52.019,0.012,0.02,0.041,5,-2.65,-0.14,5.9
BICK,5,44.48952025,-123.2807105,51.971,0.006,0.025,0.031,5,-1.42,0.74,1.1
BICK,5,44.48952025,-123.2807107,51.98,0.011,0.019,0.039,5,-1.42,-0.36,2
BICK,5,44.48952025,-123.2807106,51.962,0.007,0.023,0.032,5,-1.42,0.52,0.2
BICK,5,44.48952017,-123.2807106,51.978,0.013,0.021,0.046,5,-2.35,-0.14,1.8
GLAS,5,44.51934222,-122.9960553,69.458,0.006,0.025,0.034,5,-0.48,-0.45,1.5
GLAS,5,44.51934217,-122.9960554,69.46,0.012,0.02,0.043,5,-1.09,-1.33,1.7
GLAS,5,44.51934219,-122.9960553,69.472,0.006,0.025,0.033,5,-0.79,-0.45,2.9
GLAS,5,44.51934225,-122.9960553,69.445,0.011,0.019,0.041,5,-0.17,-0.67,0.2
GLAS,5,44.51934219,-122.9960553,69.456,0.007,0.023,0.033,5,-0.79,-0.45,1.3
GLAS,5,44.51934211,-122.9960553,69.459,0.011,0.02,0.041,5,-1.71,-0.67,1.6
GLAS,5,44.51934214,-122.9960554,69.455,0.008,0.022,0.033,5,-1.4,-1.55,1.2
GLAS,5,44.51934225,-122.9960553,69.436,0.011,0.023,0.039,5,-0.17,-0.67,-0.7
LBCC,5,44.58498558,-123.1181762,46.97,0.007,0.027,0.037,5,-1.33,0.91,2
LBCC,5,44.58498561,-123.1181767,46.966,0.017,0.034,0.054,5,-1.02,-2.62,1.6
LBCC,5,44.58498564,-123.1181762,46.963,0.006,0.026,0.035,5,-0.72,1.13,1.3
LBCC,5,44.58498561,-123.1181766,46.957,0.017,0.029,0.052,5,-1.02,-1.96,0.7
LBCC,5,44.58498567,-123.1181761,46.966,0.007,0.03,0.04,5,-0.41,2.02,1.6
LBCC,5,44.58498553,-123.1181765,46.977,0.017,0.025,0.057,5,-1.95,-1.51,2.7
LBCC,5,44.58498561,-123.1181765,46.946,0.011,0.021,0.045,5,-1.02,-1.29,-0.4
LBCC,5,44.58498564,-123.1181762,46.948,0.007,0.025,0.035,5,-0.72,1.13,-0.2
LBCC,5,44.58498561,-123.1181765,46.963,0.012,0.02,0.045,5,-1.02,-1.07,1.3
LBCC,5,44.58498567,-123.1181763,46.951,0.007,0.025,0.035,5,-0.41,0.47,0.1
LBCC,5,44.58498553,-123.1181764,46.976,0.011,0.021,0.047,5,-1.95,-0.85,2.6
LBCC,5,44.58498558,-123.1181766,46.965,0.008,0.024,0.035,5,-1.33,-1.73,1.5
LBCC,5,44.58498567,-123.1181765,46.941,0.011,0.024,0.041,5,-0.41,-1.29,-0.9
U727,5,44.59391664,-123.5471758,204.402,0.007,0.028,0.041,5,-1.35,0.82,0.4
U727,5,44.59391667,-123.547176,204.408,0.007,0.028,0.038,5,-1.04,-0.29,1
U727,5,44.59391675,-123.547176,204.385,0.015,0.025,0.05,5,-0.12,-0.51,-1.3
U727,5,44.59391669,-123.547176,204.397,0.007,0.028,0.04,5,-0.73,-0.29,-0.1
U727,5,44.59391664,-123.547176,204.409,0.011,0.02,0.043,5,-1.35,-0.29,1.1
U727,5,44.59391672,-123.5471759,204.381,0.011,0.024,0.045,5,-0.42,0.15,-1.7
U727,5,44.59391669,-123.5471757,204.423,0.013,0.031,0.038,5,-0.73,1.7,2.5
Y683,5,44.68914753,-123.2189186,71.642,0.007,0.026,0.034,5,-0.63,0.55,1.6
Y683,5,44.6891475,-123.2189188,71.628,0.015,0.022,0.046,5,-0.94,-0.55,0.2
Y683,5,44.68914756,-123.2189187,71.642,0.007,0.026,0.034,5,-0.32,0.33,1.6
Y683,5,44.68914747,-123.2189188,71.631,0.013,0.023,0.044,5,-1.24,-0.33,0.5
Y683,5,44.68914758,-123.2189188,71.622,0.006,0.025,0.034,5,-0.01,-0.55,-0.4
Y683,5,44.68914747,-123.2189188,71.658,0.012,0.02,0.043,5,-1.24,-0.77,3.2
Y683,5,44.68914753,-123.2189187,71.632,0.006,0.025,0.032,5,-0.63,0.11,0.6
Y683,5,44.68914756,-123.2189189,71.631,0.011,0.019,0.041,5,-0.32,-1.21,0.5
Y683,5,44.68914756,-123.2189187,71.63,0.007,0.025,0.034,5,-0.32,0.11,0.4
Y683,5,44.68914753,-123.2189187,71.638,0.01,0.018,0.039,5,-0.63,-0.11,1.2
Y683,5,44.68914761,-123.2189187,71.617,0.01,0.023,0.037,5,0.3,0.33,-0.9
Y683,5,44.68914756,-123.2189186,71.654,0.012,0.028,0.036,5,-0.32,0.55,2.8
BICK,6.991666667,44.48952025,-123.2807106,51.983,0.005,0.019,0.028,7,-1.42,0.52,2.3
LBCC,6.991666667,44.58498561,-123.1181764,46.955,0.006,0.02,0.03,7,-1.02,-0.19,0.5
B726,7,44.64840733,-123.062661,42.053,0.006,0.019,0.03,7,-0.61,1.19,-0.1
B726,7,44.64840736,-123.062661,42.045,0.007,0.021,0.033,7,-0.3,1.19,-0.9
B726,7,44.64840739,-123.0626609,42.041,0.006,0.019,0.029,7,0.01,1.63,-1.3
B726,7,44.64840739,-123.062661,42.03,0.008,0.016,0.033,7,0.01,1.19,-2.4
BICK,7,44.48952025,-123.2807106,51.974,0.005,0.019,0.026,7,-1.42,-0.14,1.4
BICK,7,44.48952028,-123.2807106,51.963,0.006,0.019,0.028,7,-1.11,0.52,0.3
BICK,7,44.48952022,-123.2807106,51.977,0.006,0.02,0.029,7,-1.73,0.08,1.7
BICK,7,44.48952022,-123.2807106,51.972,0.005,0.019,0.028,7,-1.73,0.3,1.2
BICK,7,44.48952022,-123.2807106,51.983,0.006,0.02,0.029,7,-1.73,0.08,2.3
BICK,7,44.48952028,-123.2807104,51.974,0.007,0.022,0.033,7,-1.11,1.41,1.4
BICK,7,44.48952031,-123.2807106,51.97,0.006,0.019,0.028,7,-0.8,0.3,1
BICK,7,44.48952028,-123.2807106,51.971,0.006,0.019,0.028,7,-1.11,0.3,1.1
BICK,7,44.48952028,-123.2807105,51.961,0.006,0.018,0.027,7,-1.11,0.74,0.1
GLAS,7,44.51934225,-122.9960553,69.457,0.006,0.019,0.029,7,-0.17,-0.23,1.4
GLAS,7,44.51934219,-122.9960554,69.467,0.006,0.019,0.029,7,-0.79,-1.33,2.4
GLAS,7,44.51934219,-122.9960552,69.449,0.006,0.018,0.028,7,-0.79,-0.01,0.6
GLAS,7,44.51934217,-122.9960554,69.447,0.007,0.016,0.028,7,-1.09,-1.11,0.4
LBCC,7,44.58498561,-123.1181764,46.964,0.005,0.02,0.029,7,-1.02,-0.19,1.4
LBCC,7,44.58498564,-123.1181764,46.965,0.006,0.021,0.031,7,-0.72,-0.41,1.5
LBCC,7,44.58498567,-123.1181762,46.97,0.007,0.024,0.036,7,-0.41,1.13,2
LBCC,7,44.58498567,-123.1181763,46.957,0.006,0.02,0.03,7,-0.41,0.47,0.7
LBCC,7,44.58498564,-123.1181764,46.948,0.006,0.019,0.029,7,-0.72,-0.19,-0.2
LBCC,7,44.58498558,-123.1181766,46.959,0.007,0.017,0.03,7,-1.33,-2.18,0.9
U727,7,44.59391667,-123.5471759,204.399,0.006,0.022,0.035,7,-1.04,0.37,0.1
U727,7,44.59391667,-123.547176,204.405,0.006,0.021,0.032,7,-1.04,-0.73,0.7
U727,7,44.59391669,-123.5471759,204.391,0.007,0.021,0.033,7,-0.73,0.59,-0.7
U727,7,44.59391675,-123.5471759,204.387,0.008,0.016,0.034,7,-0.12,0.37,-1.1
Y683,7,44.6891475,-123.2189187,71.642,0.006,0.02,0.03,7,-0.94,-0.11,1.6
Y683,7,44.68914756,-123.2189187,71.643,0.005,0.019,0.029,7,-0.32,-0.11,1.7
Y683,7,44.68914758,-123.2189187,71.625,0.006,0.019,0.028,7,-0.01,0.11,-0.1
Y683,7,44.68914753,-123.2189188,71.631,0.006,0.019,0.029,7,-0.63,-0.55,0.5
Y683,7,44.68914756,-123.2189187,71.631,0.006,0.019,0.029,7,-0.32,0.33,0.5
Y683,7,44.68914761,-123.2189187,71.62,0.007,0.015,0.03,7,0.3,0.11,-0.6
BICK,9.991666667,44.48952025,-123.2807106,51.976,0.005,0.015,0.024,10,-1.42,-0.14,1.6
LBCC,9.991666667,44.58498561,-123.1181764,46.958,0.005,0.014,0.025,10,-1.02,-0.63,0.8
B726,10,44.64840733,-123.0626611,42.048,0.005,0.013,0.025,10,-0.61,0.53,-0.6
B726,10,44.64840733,-123.0626611,42.042,0.006,0.015,0.026,10,-0.61,0.31,-1.2
B726,10,44.64840733,-123.0626611,42.047,0.005,0.012,0.024,10,-0.61,0.31,-0.7
B726,10,44.64840739,-123.0626611,42.051,0.006,0.013,0.025,10,0.01,0.53,-0.3
BICK,10,44.48952025,-123.2807106,51.973,0.005,0.015,0.023,10,-1.42,0.08,1.3
BICK,10,44.48952028,-123.2807106,51.969,0.005,0.014,0.024,10,-1.11,0.3,0.9
BICK,10,44.48952022,-123.2807106,51.976,0.005,0.015,0.025,10,-1.73,-0.14,1.6
BICK,10,44.48952022,-123.2807106,51.974,0.005,0.014,0.023,10,-1.73,-0.14,1.4
BICK,10,44.48952022,-123.2807106,51.979,0.005,0.015,0.024,10,-1.73,-0.14,1.9
BICK,10,44.48952028,-123.2807105,51.974,0.006,0.016,0.027,10,-1.11,0.74,1.4
BICK,10,44.48952028,-123.2807107,51.977,0.005,0.013,0.024,10,-1.11,-0.36,1.7
BICK,10,44.48952025,-123.2807106,51.974,0.005,0.013,0.023,10,-1.42,-0.14,1.4
BICK,10,44.48952025,-123.2807106,51.964,0.006,0.014,0.024,10,-1.42,-0.14,0.4
GLAS,10,44.51934222,-122.9960553,69.458,0.005,0.014,0.024,10,-0.48,-0.89,1.5
GLAS,10,44.51934219,-122.9960554,69.461,0.005,0.013,0.024,10,-0.79,-1.11,1.8
GLAS,10,44.51934217,-122.9960553,69.454,0.005,0.013,0.023,10,-1.09,-0.89,1.1
GLAS,10,44.51934219,-122.9960553,69.443,0.006,0.012,0.023,10,-0.79,-0.45,0
LBCC,10,44.58498561,-123.1181765,46.963,0.005,0.016,0.026,10,-1.02,-1.07,1.3
LBCC,10,44.58498564,-123.1181765,46.964,0.005,0.015,0.026,10,-0.72,-1.07,1.4
LBCC,10,44.58498564,-123.1181763,46.968,0.006,0.017,0.03,10,-0.72,0.47,1.8
LBCC,10,44.58498564,-123.1181764,46.958,0.005,0.014,0.025,10,-0.72,-0.63,0.8
LBCC,10,44.58498561,-123.1181765,46.957,0.005,0.013,0.025,10,-1.02,-1.51,0.7
LBCC,10,44.58498561,-123.1181766,46.952,0.006,0.012,0.024,10,-1.02,-1.73,0.2
U727,10,44.59391667,-123.5471759,204.4,0.006,0.016,0.03,10,-1.04,0.59,0.2
U727,10,44.59391669,-123.547176,204.403,0.005,0.015,0.027,10,-0.73,-0.73,0.5
U727,10,44.59391667,-123.547176,204.4,0.005,0.013,0.026,10,-1.04,-0.29,0.2
U727,10,44.59391675,-123.5471759,204.401,0.006,0.013,0.026,10,-0.12,0.15,0.3
Y683,10,44.6891475,-123.2189188,71.636,0.005,0.015,0.025,10,-0.94,-0.33,1
Y683,10,44.68914753,-123.2189187,71.633,0.005,0.014,0.024,10,-0.63,-0.11,0.7
Y683,10,44.68914756,-123.2189188,71.63,0.005,0.013,0.024,10,-0.32,-0.77,0.4
Y683,10,44.68914753,-123.2189188,71.635,0.005,0.013,0.023,10,-0.63,-0.99,0.9
Y683,10,44.68914756,-123.2189187,71.633,0.005,0.012,0.023,10,-0.32,-0.11,0.7
Y683,10,44.68914758,-123.2189187,71.635,0.006,0.012,0.023,10,-0.01,-0.11,0.9
